reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,translated_content,sentiment
8be582a1-5ee1-493c-8631-fc875740f78d,Golden Fox,https://play-lh.googleusercontent.com/a-/ALV-UjUkUtDGWw9Iv4x6937vQozR7HsaUnP0jWokAC06IifFwF31TRA,"Saya kecewa setelah ada fitur tidak dpt menampilkan pengguna. Barusan ada penipu menghubungi saya, saat dicek di get contact tidak bisa menampilkan karena tidak diijinkan oleh pengguna. Kalau begini lalu apa fungsinya getcontact? Jadi sama aja ga berguna kalau penipu saja sekarang bisa melindungi diri.",2,19,6.8.0,2024-05-23 16:00:55,,,6.8.0,"I was disappointed after there was a feature that could not display users.Just now a fraudster contacted me, when checked at Get Contact could not display because it was not permitted by the user.At this rate then what is the function of getcontact?So it's the same as useless if fraudsters can now protect themselves.",Negative
a00da20d-ac83-411c-a6ab-24d32091ce53,Sri Sedono,https://play-lh.googleusercontent.com/a-/ALV-UjXZIji72Jm5sQNiVyCarMpGaBWq0agadyBWDtTcLYYc-LTXuR93Sg,Aplikasi lelet minta ampun... Susah di jadikan default app utk panggilan dan pesan. Tapi tetap saja lelet gak bisa buka riwayat dengan cepat. Loading buka app dan loading buka riwayat,1,16,6.8.0,2024-05-22 7:42:53,,,6.8.0,"The slow application for forgiveness ... has been made a default app for calls and messages.But still, it's slow and can't open a history quickly.Loading Open the App and Loading Open History",Negative
e6902df3-5413-4850-add4-159df1084562,Zuryetti Muzar,https://play-lh.googleusercontent.com/a/ACg8ocJDrZczjW3pYUElBDGwyPaiWU0w7rP23QH5aRcC2Bqsf3kFdg=mo,"Setelah update, tidak bisa digunakan lagi. Setiap membuka, muncul pesan 'internet connection is required', begitu di'ok'kan aplikasinya langsung tertutup. Padahal jaringan normal dan aplikasi yg lain bisa dibuka.",1,157,6.7.1,2024-05-07 2:49:25,"Halo, Terima kasih telah menghubungi kami. Saat ini aplikasi Getcontact berjalan dengan lancar . Jika masalah masih terjadi, Anda dapat menghubungi salah satu spesialis Getcontact kami di https://www.getcontact.com/send-report - Getcontact Team",2024-05-07 9:46:51,6.7.1,"After the update, it can't be used anymore.Every opening, the message 'internet connection is required', as soon as 'the' application is immediately closed.Even though the network is normal and other applications can be opened.",Negative
bdb7b222-3aae-4cbf-8cf5-5e40c695c295,Rudi Hermawan,https://play-lh.googleusercontent.com/a-/ALV-UjVTpXd1LbaJSwHF1UabdSRlth7wnx8_Ub_UndWdiuwBRgPS1ioQ,"Aplikasinya bagus, manfaatnya bagus, fiturnya juga bagus, tapi saya sebagai pengguna premium mengeluh karena beberapa alasan: 1. Sulit menekan tombol telpon saat ada panggilan masuk. 2. Tidak bisa melakukan panggilan karena layar kosong saat memanggil. Tolong segera diperbaiki, soalnya saya sudah berkali-kali instal dan delete apk ini karena hal itu. Terimakasih",3,1005,6.6.1,2024-03-20 3:11:32,"Halo, Mohon maaf atas ketidaknyamanannya. Silahkan hubungi kami dengan mengirimkan email ke support@getcontact.com dengan menyertakan nomor telepon dan alamat emaill serta deskripsi masalah serta tangkapan layarnya. - Getcontact Team",2024-03-20 14:19:52,6.6.1,"The application is good, the benefits are good, the features are also good, but I as a premium user complain for several reasons: 1. It's hard to press the telephone button when there is an incoming call.2. Cannot make a call because the screen is empty when calling.Please fix it immediately, because I have installed and deleted this apk many times because of that.Thank You",Positive
72a17c80-7690-4dc2-b60f-66e6d1a58ec1,M Husni Mubarok MHM,https://play-lh.googleusercontent.com/a-/ALV-UjXMzGLPT9frLw5FwnfQmmInEdqkymlNZKbj9ACt4Bog4C4-qIo,"Dengan adanya Aplikasi Getcontact, bisa membantu saya menjawab rasa penasaran kepada setiap pihak yang saya anggap tidak jelas, bahkan sebagian pihak saya anggab hanya jadi Pengganggu, saya temukan siapa mereka setelah saya memakai aplikasi ini. Tetapi ada pula nomor telp yang mampu mengamankan diri dari Getcontact, sehingga nomor tsb tidak mampu dilacaknya . Bisa gak Getcontact menembus sistem pengamanan tsb ???",5,709,6.7.1,2024-05-15 1:53:15,,,6.7.1,"With the Getcontact application, it can help me answer curiosity to every party that I consider unclear, even some of my parties are only a bunch, I find who they are after I use this application.But there are also telephone numbers that are able to secure themselves from getcontact, so that the number is not able to track it.Can you get getcontact through the security system ???",Positive
7994a34b-5a74-49cd-9e6c-8e73868d79a2,Fahril rajab,https://play-lh.googleusercontent.com/a-/ALV-UjVwvOIeRHWTn6rQqNDllLjeCq-NT-yAe36SiIlSqMnFyczwpDFx,Tolong saya kok gagal frifikasi terus padahal nomor sudah benar kenapa yah bisa terjadi seperti itu dan kok nomor saya kok bisa kurang padahal saya udah berkali kali untuk di betulkan tapi kok tetep berkurang dengan sendirinya yah sampai tidak bisa lagi frifikasi nya,2,32,6.8.0,2024-05-17 13:59:02,"Halo, Jika Anda kesulitan mendapatkan kode verifikasi, silahkan lengkapi formulir berikut dan salah satu spesialis Getcontact kami akan segera menghubungi Anda untuk menyelesaikan kendala yang terjadi: https://www.getcontact.com/send-report.
Terima kasih atas pengertian Anda. - Getcontact Team",2024-05-17 15:04:03,6.8.0,"Help me, how come I fail to be fried, even though the number is correct why it can happen like that and how come my number can be lacking even though I have been recently to be reflected but how come it is reduced by itself until it can't be frisified anymore",Negative
c4b2c271-8958-4aa7-b07d-8d10dab4bb72,Okta Vianzz,https://play-lh.googleusercontent.com/a-/ALV-UjX35Nu79QsOwtP9kytSneg5Im-GXGGwAn_hDDbI_S5RGLBy7pYm,"kenapa saat saya,saat ingin login dan memasukkan nomor yang bener,tapi di verifikasi nomor yang di pakai malah beda dengan yang di gunakan mohon di perbaiki kedepan nyaa, sebelum get contact sangat baik terimakasih",4,97,6.8.0,2024-05-23 11:44:39,"Halo, Mohon maaf atas ketidaknyamanannya. Silahkan hubungi kami dengan mengirimkan email ke support@getcontact.com dengan menyertakan nomor telepon dan alamat emaill serta deskripsi masalah serta tangkapan layarnya. - Getcontact Team",2024-05-23 14:37:51,6.8.0,"Why when I, when I want to log in and enter the correct number, but in the verification the number used is even different from the one used, please fix it in the future, before Get Contact is very good, thank you",Positive
09bd7090-3510-4853-86e0-8384ebe79a6a,umi Hidayah,https://play-lh.googleusercontent.com/a/ACg8ocLefTSNr6MUbsfcN8WuElRN-LoYVMk9LCntvKgHmAqWzbmfOA=mo,"Dengan aplikasi ini, kita bisa melacak nomor orang tidak dikenal. Sehingga terhindar dari maraknya kejahatan yg mengintai. Namun belum sepenuhnya membantu karena ada nomor yang dilindungi dan tanda yg disembunyikan.",5,454,6.8.0,2024-05-18 7:28:32,,,6.8.0,"With this application, we can track the number of unknown people.So as to avoid the rise of lurk crimes.But it has not been fully helpful because there are protected numbers and signs that are hidden.",Positive
b3f8b8cf-c73d-450c-910b-5f490d6e2c52,mary,https://play-lh.googleusercontent.com/a/ACg8ocIhtNlQYUK5ZH-TyzfKswXy7QTESbb2TDrTxY8SNFObXF7wWw=mo,"Tolong hapus sistem (kontak tidak mau ditampilkan diget contact karna itu sangat dimanfaatkan oleh oknum""penipu )saya udah kena dan begitu mau cari digetcontact malah muncul kontak tidak mau ditampilkan .tolong untuk developer dan perusahaan bikin aplikasi jgn hanya cari untung kalo pun ada opsi kontak tdk mau muncul harus ada opsi supaya kami korban bisa melapor kepihak getcotact agar izinnya bisa dicabut oleh developer",1,1277,6.6.1,2024-04-16 2:05:34,,,6.6.1,"Please delete the system (contact do not want to be displayed by the contact contact because it is very utilized by the person ""fraudsters) I have been hit and once I want to find the digesting even the contact appears not to be displayed. Help for the developer and the company makes the application do not only search for profit if there is a contact option evendo not want to appear there must be an option so that we victims can report to getcotact so that the permit can be revoked by the developer",Negative
dda53358-6bc4-41ef-8904-a668cfe48157,Rendra Fitriana,https://play-lh.googleusercontent.com/a-/ALV-UjVIsBZF72VJjtXbJkIAsSYYUCxW94ErA6T_FxugOAHd9aO39sKo,"Hello, saya sangat keberatan dengan adanya channel di get contact. Karena sebagian besar channel tersebut berisi konten adult 18+. Padahal seharusnya get contact itu aplikasi untuk keamanan, sekarang jadi aplikasi semi pornografi :( sangat mengecewakan, harusnya dihapus saja fitur channel itu.",1,188,6.6.1,2024-04-12 6:36:06,,,6.6.1,"Hello, I really objected to the channel in Get Contact.Because most of the channels contain Adult 18+ content.Even though it should get a contact application for security, now it is a semi pornographic application :( very disappointing, it should just be deleted the channel feature.",Negative
